0	22	17.5	0	-22	17.5	0	0	44	0	0	44	
-0.912344	21.9824	17.5859	-0.827872	-22.0301	17.6241	1.89221	-0.187693	43.5814	1.93684	-0.187693	43.5096	
-0.443298	21.9273	17.5418	-0.341914	-22.2202	17.7762	2.14663	-0.714145	43.9033	2.2002	-0.714145	43.7106	
-0.107016	21.2692	17.0153	-1.06796	-23.7429	18.9943	2.16304	-1.88262	44.6019	1.65527	-1.88262	44.8623	
-1.30388	17.2466	13.7973	-7.12549	-32.0062	25.605	2.45753	-2.95958	45.3171	-0.618612	-2.95958	49.8717	
-8.31379	10.3922	8.31379	4.34174e-14	-0	-7.77255e-16	10.9024	-0.333247	43.4729	10.1864	-0.333247	63.7585	
-6.07467	7.59334	6.07467	-3.18368e-14	-0	2.08624e-15	12.4256	-1.53802	46.093	15.1236	-1.53802	74.4481	
-3.80208	4.75261	3.80209	-8.79515e-15	-0	-7.8344e-15	11.7718	-3.37323	60.6539	21.1382	-3.37323	74.7182	
1.7979	10.4421	8.35372	5.05387e-14	-0	9.41325e-15	1.71586e-14	-3.43752e-16	0	22.3216	-14.4054	91.6339	
-11.7274	14.6594	11.7276	3.2589e-14	-0	1.00053e-13	3.72673e-14	-8.56111e-14	0	18.4309	-25.0499	109.007	
-11.4828	14.3542	11.4834	-7.15599e-13	-0	9.97142e-13	4.38927e-13	5.83335e-14	0	18.8115	-25.5542	109.414	
-11.2552	14.0701	11.2561	-6.00362e-13	-0	-6.73243e-13	5.54419e-14	6.71392e-14	0	19.1697	-26.0303	109.8	
-11.0441	13.8056	11.0445	-9.15756e-13	-0	-2.58217e-12	1.19975e-12	2.56339e-12	0	19.5066	-26.48	110.167	
-10.8644	13.5805	10.8644	1.37439e-12	-0	9.62968e-13	3.90966e-12	-1.03033e-12	0	19.8032	-26.8913	110.504	
-10.7147	13.3935	10.7148	4.09238e-13	-0	7.2042e-13	-4.09676e-13	-2.803e-13	0	20.0156	-27.1582	110.64	
-10.3325	13.3393	10.6714	-3.04766e-14	-0	2.15787e-14	6.9619e-14	7.99559e-14	0	20.1643	-27.0391	110.275	
-9.23478	13.5696	10.8557	-1.15432e-13	-0	-7.66855e-14	-4.51969e-15	7.40657e-14	0	20.3149	-26.0695	108.972	
-6.3279	13.5056	10.8045	-8.49596e-14	-0	-6.68506e-15	1.22721e-13	-4.44802e-14	0	20.8877	-23.127	105.834	
0.348987	12.7004	10.1603	-5.27847e-15	-0	9.15724e-14	2.29093e-13	-3.65876e-14	0	22.4347	-15.7978	99.0303	
11.3525	14.1907	11.3525	3.44402e-15	-0	-1.26153e-13	2.13815e-14	1.1801e-13	0	26.6387	-1.61119	83.5916	
26.4339	33.0424	26.4339	35.5299	-44.4123	8.92759	-19.3538	-16.2344	59.8462	38.1112	11.8166	47.639	
19.0753	24.8567	19.8854	17.4737	-21.8421	17.4737	-6.0987	-2.90635	46.1306	20.2385	9.19965	40.0297	
19.1053	24.9367	19.9494	17.5144	-21.893	17.5144	-6.07934	-2.65094	46.2195	20.295	9.47216	40.1934	
19.3111	25.9408	20.7527	17.4705	-21.8382	17.4705	-7.11371	-2.40516	47.0204	20.8408	10.4443	40.448	
21.8554	31.2074	24.9659	16.4784	-20.598	16.4784	-9.29469	-2.72121	50.6638	22.1893	11.7505	41.268	
8.4869e-14	0	1.33216e-13	7.23053	-9.03816	6.20506	3.54514	-0.353582	64.0598	11.571	3.33554	48.6451	
-4.94969e-13	0	-1.83647e-13	19.5174	-24.3968	-19.5174	35.9914	19.6272	94.7428	-11.4829	-2.19457	56.552	
-1.75587e-15	0	-5.38163e-14	21.8288	-27.286	-21.8288	52.03	25.3306	97.7134	-27.9831	-11.4478	78.4576	
-3.66929e-12	0	9.02807e-13	18.8942	-23.6177	-18.8942	11.3442	40.0877	108.775	-7.17129e-13	2.76825e-13	0	
-5.5632e-12	0	2.45298e-13	3.17188	-3.96485	3.17188	-3.88981	33.3135	107.581	-2.71236e-12	-1.56246e-12	0	
-6.7038e-13	0	1.82102e-13	3.4674	-4.33425	3.4674	-3.77454	33.2947	107.504	4.43201e-12	9.00319e-13	0	
6.29738e-14	0	-6.82133e-14	3.76449	-4.70562	3.76449	-3.65636	33.2831	107.431	1.29603e-14	-1.08418e-13	0	
2.65559e-12	0	-1.62611e-13	4.06099	-5.07623	4.06099	-3.53638	33.2786	107.361	7.12e-13	-3.85075e-13	0	
5.70133e-13	0	5.90083e-14	4.50131	-5.62664	4.50131	-3.36815	33.2437	107.259	1.64634e-12	-2.17374e-12	0	
-2.44491e-13	0	-1.7386e-12	6.02126	-7.52658	6.02126	-2.83282	32.8751	106.873	1.1555e-12	-1.01259e-12	0	
-4.82091e-13	0	9.17897e-13	7.89505	-9.86881	7.89505	-2.03155	31.5278	106.033	4.10559e-13	2.21916e-13	0	
4.62496e-13	0	-1.36014e-13	9.22326	-11.5291	9.22326	-1.2272	29.0605	105.224	5.63955e-13	-1.90753e-13	0	
4.32796e-13	0	4.92112e-13	10.9602	-13.7003	10.9602	-0.165518	25.2995	104.699	-5.00954e-13	-2.26019e-13	0	
-3.13565e-13	0	9.3597e-14	14.3381	-17.9226	13.7582	2.72454	18.0396	100.683	-4.68173e-13	1.11838e-12	0	
5.22524e-14	0	-1.07762e-13	23.2755	-29.0943	17.2187	14.8579	10.026	87.7159	-7.63775e-13	-7.68554e-15	0	
77.7373	97.1717	39.7982	45.3461	-56.6826	32.3256	21.8623	3.52694	52.3714	11.6424	4.49381	35.7617	
